Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,29-09-2015,,,,,,,,
Gegevens beschikbaar:,23-09-1958,tot:,13-06-2006,,,,,,,,
Datum: ,29-09-2015,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B27D0001,001,27DP0001,190250,485640,2756,01-04-1958,23-09-1958,29-11-1993,2788,32,1466,1366
B27D0001,001,27DP0001,190250,485640,2756,01-04-1958,29-11-1993,14-06-2006,2794,38,1466,1366


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B27D0001,001,23-09-1958,785,753,2003,,,,,,
B27D0001,001,11-11-1958,797,765,1991,,,,,,
B27D0001,001,25-11-1958,795,763,1993,,,,,,
B27D0001,001,29-01-1959,800,768,1988,,,,,,
B27D0001,001,17-02-1959,790,758,1998,,,,,,
B27D0001,001,05-03-1959,815,783,1973,,,,,,
B27D0001,001,17-03-1959,817,785,1971,,,,,,
B27D0001,001,07-04-1959,813,781,1975,,,,,,
B27D0001,001,21-04-1959,818,786,1970,,,,,,
B27D0001,001,14-05-1959,820,788,1968,,,,,,
B27D0001,001,25-06-1959,824,792,1964,,,,,,
B27D0001,001,23-07-1959,825,793,1963,,,,,,
B27D0001,001,06-08-1959,830,798,1958,,,,,,
B27D0001,001,19-08-1959,831,799,1957,,,,,,
B27D0001,001,29-09-1959,840,808,1948,,,,,,
B27D0001,001,13-10-1959,840,808,1948,,,,,,
B27D0001,001,29-10-1959,844,812,1944,,,,,,
B27D0001,001,03-12-1959,850,818,1938,,,,,,
B27D0001,001,23-02-1960,874,842,1914,,,,,,
B27D0001,001,14-03-1960,873,841,1915,,,,,,
B27D0001,001,19-04-1960,880,848,1908,,,,,,
B27D0001,001,28-04-1960,875,843,1913,,,,,,
B27D0001,001,18-05-1960,878,846,1910,,,,,,
B27D0001,001,07-06-1960,885,853,1903,,,,,,
B27D0001,001,06-07-1960,885,853,1903,,,,,,
B27D0001,001,16-08-1960,894,862,1894,,,,,,
B27D0001,001,28-09-1960,890,858,1898,,,,,,
B27D0001,001,24-10-1960,880,848,1908,,,,,,
B27D0001,001,24-11-1960,868,836,1920,,,,,,
B27D0001,001,20-12-1960,825,793,1963,,,,,,
B27D0001,001,17-01-1961,812,780,1976,,,,,,
B27D0001,001,07-02-1961,806,774,1982,,,,,,
B27D0001,001,28-02-1961,795,763,1993,,,,,,
B27D0001,001,16-03-1961,790,758,1998,,,,,,
B27D0001,001,18-04-1961,785,753,2003,,,,,,
B27D0001,001,23-05-1961,785,753,2003,,,,,,
B27D0001,001,08-06-1961,789,757,1999,,,,,,
B27D0001,001,22-06-1961,785,753,2003,,,,,,
B27D0001,001,25-07-1961,792,760,1996,,,,,,
B27D0001,001,10-08-1961,795,763,1993,,,,,,
B27D0001,001,05-09-1961,800,768,1988,,,,,,
B27D0001,001,19-09-1961,800,768,1988,,,,,,
B27D0001,001,12-10-1961,800,768,1988,,,,,,
B27D0001,001,26-10-1961,796,764,1992,,,,,,
B27D0001,001,16-11-1961,793,761,1995,,,,,,
B27D0001,001,05-12-1961,787,755,2001,,,,,,
B27D0001,001,04-01-1962,760,728,2028,,,,,,
B27D0001,001,23-01-1962,749,717,2039,,,,,,
B27D0001,001,13-02-1962,740,708,2048,,,,,,
B27D0001,001,27-02-1962,740,708,2048,,,,,,
B27D0001,001,22-03-1962,730,698,2058,,,,,,
B27D0001,001,26-04-1962,734,702,2054,,,,,,
B27D0001,001,17-05-1962,727,695,2061,,,,,,
B27D0001,001,29-05-1962,727,695,2061,,,,,,
B27D0001,001,14-06-1962,727,695,2061,,,,,,
B27D0001,001,28-06-1962,725,693,2063,,,,,,
B27D0001,001,02-08-1962,731,699,2057,,,,,,
B27D0001,001,21-08-1962,736,704,2052,,,,,,
B27D0001,001,11-09-1962,740,708,2048,,,,,,
B27D0001,001,25-09-1962,745,713,2043,,,,,,
B27D0001,001,09-10-1962,748,716,2040,,,,,,
B27D0001,001,30-10-1962,750,718,2038,,,,,,
B27D0001,001,15-11-1962,755,723,2033,,,,,,
B27D0001,001,29-11-1962,760,728,2028,,,,,,
B27D0001,001,18-12-1962,762,730,2026,,,,,,
B27D0001,001,17-01-1963,770,738,2018,,,,,,
B27D0001,001,05-02-1963,773,741,2015,,,,,,
B27D0001,001,25-02-1963,780,748,2008,,,,,,
B27D0001,001,12-03-1963,780,748,2008,,,,,,
B27D0001,001,21-03-1963,785,753,2003,,,,,,
B27D0001,001,04-04-1963,783,751,2005,,,,,,
B27D0001,001,16-04-1963,780,748,2008,,,,,,
B27D0001,001,02-05-1963,780,748,2008,,,,,,
B27D0001,001,14-05-1963,781,749,2007,,,,,,
B27D0001,001,04-06-1963,782,750,2006,,,,,,
B27D0001,001,18-06-1963,784,752,2004,,,,,,
B27D0001,001,09-07-1963,785,753,2003,,,,,,
B27D0001,001,23-07-1963,790,758,1998,,,,,,
B27D0001,001,08-08-1963,790,758,1998,,,,,,
B27D0001,001,22-08-1963,790,758,1998,,,,,,
B27D0001,001,02-09-1963,793,761,1995,,,,,,
B27D0001,001,17-09-1963,795,763,1993,,,,,,
B27D0001,001,08-10-1963,794,762,1994,,,,,,
B27D0001,001,22-10-1963,800,768,1988,,,,,,
B27D0001,001,07-11-1963,793,761,1995,,,,,,
B27D0001,001,19-11-1963,795,763,1993,,,,,,
B27D0001,001,05-12-1963,792,760,1996,,,,,,
B27D0001,001,10-12-1963,790,758,1998,,,,,,
B27D0001,001,30-12-1963,785,753,2003,,,,,,
B27D0001,001,06-01-1964,786,754,2002,,,,,,
B27D0001,001,20-01-1964,785,753,2003,,,,,,
B27D0001,001,06-02-1964,793,761,1995,,,,,,
B27D0001,001,17-02-1964,790,758,1998,,,,,,
B27D0001,001,18-02-1964,792,760,1996,,,,,,
B27D0001,001,03-03-1964,796,764,1992,,,,,,
B27D0001,001,05-03-1964,799,767,1989,,,,,,
B27D0001,001,17-03-1964,799,767,1989,,,,,,
B27D0001,001,26-03-1964,800,768,1988,,,,,,
B27D0001,001,06-04-1964,803,771,1985,,,,,,
B27D0001,001,17-04-1964,801,769,1987,,,,,,
B27D0001,001,04-05-1964,805,773,1983,,,,,,
B27D0001,001,15-05-1964,808,776,1980,,,,,,
B27D0001,001,29-05-1964,807,775,1981,,,,,,
B27D0001,001,12-06-1964,809,777,1979,,,,,,
B27D0001,001,26-06-1964,810,778,1978,,,,,,
B27D0001,001,30-06-1964,813,781,1975,,,,,,
B27D0001,001,14-07-1964,812,780,1976,,,,,,
B27D0001,001,22-07-1964,816,784,1972,,,,,,
B27D0001,001,31-07-1964,815,783,1973,,,,,,
B27D0001,001,10-08-1964,818,786,1970,,,,,,
B27D0001,001,18-08-1964,815,783,1973,,,,,,
B27D0001,001,18-09-1964,825,793,1963,,,,,,
B27D0001,001,25-09-1964,824,792,1964,,,,,,
B27D0001,001,08-10-1964,828,796,1960,,,,,,
B27D0001,001,16-10-1964,827,795,1961,,,,,,
B27D0001,001,17-11-1964,837,805,1951,,,,,,
B27D0001,001,18-11-1964,835,803,1953,,,,,,
B27D0001,001,03-12-1964,839,807,1949,,,,,,
B27D0001,001,08-12-1964,840,808,1948,,,,,,
B27D0001,001,08-01-1965,840,808,1948,,,,,,
B27D0001,001,11-01-1965,845,813,1943,,,,,,
B27D0001,001,21-01-1965,838,806,1950,,,,,,
B27D0001,001,03-02-1965,832,800,1956,,,,,,
B27D0001,001,19-02-1965,825,793,1963,,,,,,
B27D0001,001,03-03-1965,818,786,1970,,,,,,
B27D0001,001,08-03-1965,821,789,1967,,,,,,
B27D0001,001,19-03-1965,820,788,1968,,,,,,
B27D0001,001,31-03-1965,820,788,1968,,,,,,
B27D0001,001,02-04-1965,820,788,1968,,,,,,
B27D0001,001,15-04-1965,821,789,1967,,,,,,
B27D0001,001,26-04-1965,821,789,1967,,,,,,
B27D0001,001,03-05-1965,820,788,1968,,,,,,
B27D0001,001,18-05-1965,820,788,1968,,,,,,
B27D0001,001,20-05-1965,815,783,1973,,,,,,
B27D0001,001,15-06-1965,802,770,1986,,,,,,
B27D0001,001,23-07-1965,801,769,1987,,,,,,
B27D0001,001,26-08-1965,795,763,1993,,,,,,
B27D0001,001,16-09-1965,793,761,1995,,,,,,
B27D0001,001,14-10-1965,792,760,1996,,,,,,
B27D0001,001,18-11-1965,796,764,1992,,,,,,
B27D0001,001,09-12-1965,799,767,1989,,,,,,
B27D0001,001,20-01-1966,744,712,2044,,,,,,
B27D0001,001,17-02-1966,736,704,2052,,,,,,
B27D0001,001,15-03-1966,725,693,2063,,,,,,
B27D0001,001,14-04-1966,720,688,2068,,,,,,
B27D0001,001,12-05-1966,709,677,2079,,,,,,
B27D0001,001,21-06-1966,706,674,2082,,,,,,
B27D0001,001,21-07-1966,711,679,2077,,,,,,
B27D0001,001,23-08-1966,705,673,2083,,,,,,
B27D0001,001,27-09-1966,713,681,2075,,,,,,
B27D0001,001,18-10-1966,714,682,2074,,,,,,
B27D0001,001,17-11-1966,720,688,2068,,,,,,
B27D0001,001,15-12-1966,713,681,2075,,,,,,
B27D0001,001,19-01-1967,672,640,2116,,,,,,
B27D0001,001,23-02-1967,666,634,2122,,,,,,
B27D0001,001,16-03-1967,672,640,2116,,,,,,
B27D0001,001,20-04-1967,668,636,2120,,,,,,
B27D0001,001,16-05-1967,668,636,2120,,,,,,
B27D0001,001,15-06-1967,676,644,2112,,,,,,
B27D0001,001,20-07-1967,685,653,2103,,,,,,
B27D0001,001,17-08-1967,692,660,2096,,,,,,
B27D0001,001,22-09-1967,702,670,2086,,,,,,
B27D0001,001,19-10-1967,711,679,2077,,,,,,
B27D0001,001,14-12-1967,725,693,2063,,,,,,
B27D0001,001,11-01-1968,722,690,2066,,,,,,
B27D0001,001,15-02-1968,706,674,2082,,,,,,
B27D0001,001,13-03-1968,707,675,2081,,,,,,
B27D0001,001,18-04-1968,715,683,2073,,,,,,
B27D0001,001,30-05-1968,724,692,2064,,,,,,
B27D0001,001,20-06-1968,726,694,2062,,,,,,
B27D0001,001,25-07-1968,731,699,2057,,,,,,
B27D0001,001,22-08-1968,735,703,2053,,,,,,
B27D0001,001,26-09-1968,741,709,2047,,,,,,
B27D0001,001,17-10-1968,722,690,2066,,,,,,
B27D0001,001,21-11-1968,705,673,2083,,,,,,
B27D0001,001,19-12-1968,703,671,2085,,,,,,
B27D0001,001,23-01-1969,709,677,2079,,,,,,
B27D0001,001,20-02-1969,714,682,2074,,,,,,
B27D0001,001,20-03-1969,718,686,2070,,,,,,
B27D0001,001,17-04-1969,713,681,2075,,,,,,
B27D0001,001,28-04-1969,711,679,2077,,,,,,
B27D0001,001,14-05-1969,708,676,2080,,,,,,
B27D0001,001,13-06-1969,705,673,2083,,,,,,
B27D0001,001,30-06-1969,708,676,2080,,,,,,
B27D0001,001,15-07-1969,710,678,2078,,,,,,
B27D0001,001,28-07-1969,714,682,2074,,,,,,
B27D0001,001,14-08-1969,719,687,2069,,,,,,
B27D0001,001,28-08-1969,720,688,2068,,,,,,
B27D0001,001,15-09-1969,723,691,2065,,,,,,
B27D0001,001,30-09-1969,726,694,2062,,,,,,
B27D0001,001,14-10-1969,731,699,2057,,,,,,
B27D0001,001,28-10-1969,733,701,2055,,,,,,
B27D0001,001,13-11-1969,736,704,2052,,,,,,
B27D0001,001,27-11-1969,739,707,2049,,,,,,
B27D0001,001,16-12-1969,744,712,2044,,,,,,
B27D0001,001,30-12-1969,745,713,2043,,,,,,
B27D0001,001,15-01-1970,751,719,2037,,,,,,
B27D0001,001,27-01-1970,753,721,2035,,,,,,
B27D0001,001,16-02-1970,757,725,2031,,,,,,
B27D0001,001,26-02-1970,759,727,2029,,,,,,
B27D0001,001,11-03-1970,746,714,2042,,,,,,
B27D0001,001,26-03-1970,743,711,2045,,,,,,
B27D0001,001,10-04-1970,742,710,2046,,,,,,
B27D0001,001,24-04-1970,740,708,2048,,,,,,
B27D0001,001,08-05-1970,736,704,2052,,,,,,
B27D0001,001,27-05-1970,733,701,2055,,,,,,
B27D0001,001,10-06-1970,732,700,2056,,,,,,
B27D0001,001,25-06-1970,736,704,2052,,,,,,
B27D0001,001,08-07-1970,738,706,2050,,,,,,
B27D0001,001,23-07-1970,743,711,2045,,,,,,
B27D0001,001,06-08-1970,746,714,2042,,,,,,
B27D0001,001,07-09-1970,755,723,2033,,,,,,
B27D0001,001,22-09-1970,758,726,2030,,,,,,
B27D0001,001,06-10-1970,759,727,2029,,,,,,
B27D0001,001,20-10-1970,763,731,2025,,,,,,
B27D0001,001,19-11-1970,769,737,2019,,,,,,
B27D0001,001,21-12-1970,772,740,2016,,,,,,
B27D0001,001,15-01-1971,772,740,2016,,,,,,
B27D0001,001,29-01-1971,774,742,2014,,,,,,
B27D0001,001,16-02-1971,773,741,2015,,,,,,
B27D0001,001,02-03-1971,774,742,2014,,,,,,
B27D0001,001,15-03-1971,771,739,2017,,,,,,
B27D0001,001,25-03-1971,772,740,2016,,,,,,
B27D0001,001,13-04-1971,776,744,2012,,,,,,
B27D0001,001,04-05-1971,776,744,2012,,,,,,
B27D0001,001,21-05-1971,779,747,2009,,,,,,
B27D0001,001,03-06-1971,780,748,2008,,,,,,
B27D0001,001,22-06-1971,784,752,2004,,,,,,
B27D0001,001,05-07-1971,785,753,2003,,,,,,
B27D0001,001,20-07-1971,787,755,2001,,,,,,
B27D0001,001,02-08-1971,790,758,1998,,,,,,
B27D0001,001,17-08-1971,793,761,1995,,,,,,
B27D0001,001,31-08-1971,796,764,1992,,,,,,
B27D0001,001,21-09-1971,801,769,1987,,,,,,
B27D0001,001,04-10-1971,805,773,1983,,,,,,
B27D0001,001,21-10-1971,808,776,1980,,,,,,
B27D0001,001,09-11-1971,812,780,1976,,,,,,
B27D0001,001,23-11-1971,815,783,1973,,,,,,
B27D0001,001,08-12-1971,820,788,1968,,,,,,
B27D0001,001,22-12-1971,825,793,1963,,,,,,
B27D0001,001,05-01-1972,830,798,1958,,,,,,
B27D0001,001,20-01-1972,830,798,1958,,,,,,
B27D0001,001,03-02-1972,834,802,1954,,,,,,
B27D0001,001,16-02-1972,840,808,1948,,,,,,
B27D0001,001,02-03-1972,842,810,1946,,,,,,
B27D0001,001,16-03-1972,848,816,1940,,,,,,
B27D0001,001,30-03-1972,851,819,1937,,,,,,
B27D0001,001,13-04-1972,855,823,1933,,,,,,
B27D0001,001,27-04-1972,858,826,1930,,,,,,
B27D0001,001,19-05-1972,861,829,1927,,,,,,
B27D0001,001,05-06-1972,865,833,1923,,,,,,
B27D0001,001,22-06-1972,864,832,1924,,,,,,
B27D0001,001,06-07-1972,867,835,1921,,,,,,
B27D0001,001,24-07-1972,866,834,1922,,,,,,
B27D0001,001,03-08-1972,869,837,1919,,,,,,
B27D0001,001,21-08-1972,870,838,1918,,,,,,
B27D0001,001,05-09-1972,873,841,1915,,,,,,
B27D0001,001,20-09-1972,873,841,1915,,,,,,
B27D0001,001,04-10-1972,875,843,1913,,,,,,
B27D0001,001,18-10-1972,880,848,1908,,,,,,
B27D0001,001,06-11-1972,882,850,1906,,,,,,
B27D0001,001,20-11-1972,883,851,1905,,,,,,
B27D0001,001,05-12-1972,885,853,1903,,,,,,
B27D0001,001,18-12-1972,890,858,1898,,,,,,
B27D0001,001,05-01-1973,891,859,1897,,,,,,
B27D0001,001,19-01-1973,894,862,1894,,,,,,
B27D0001,001,06-02-1973,900,868,1888,,,,,,
B27D0001,001,20-02-1973,900,868,1888,,,,,,
B27D0001,001,07-03-1973,902,870,1886,,,,,,
B27D0001,001,22-03-1973,903,871,1885,,,,,,
B27D0001,001,05-04-1973,905,873,1883,,,,,,
B27D0001,001,18-04-1973,905,873,1883,,,,,,
B27D0001,001,08-05-1973,907,875,1881,,,,,,
B27D0001,001,22-05-1973,905,873,1883,,,,,,
B27D0001,001,06-06-1973,906,874,1882,,,,,,
B27D0001,001,25-06-1973,908,876,1880,,,,,,
B27D0001,001,09-07-1973,908,876,1880,,,,,,
B27D0001,001,20-07-1973,910,878,1878,,,,,,
B27D0001,001,09-08-1973,910,878,1878,,,,,,
B27D0001,001,21-08-1973,912,880,1876,,,,,,
B27D0001,001,07-09-1973,915,883,1873,,,,,,
B27D0001,001,21-09-1973,917,885,1871,,,,,,
B27D0001,001,08-10-1973,919,887,1869,,,,,,
B27D0001,001,22-10-1973,920,888,1868,,,,,,
B27D0001,001,12-11-1973,923,891,1865,,,,,,
B27D0001,001,22-11-1973,923,891,1865,,,,,,
B27D0001,001,05-12-1973,921,889,1867,,,,,,
B27D0001,001,17-12-1973,920,888,1868,,,,,,
B27D0001,001,08-01-1974,914,882,1874,,,,,,
B27D0001,001,22-01-1974,910,878,1878,,,,,,
B27D0001,001,06-02-1974,907,875,1881,,,,,,
B27D0001,001,20-02-1974,905,873,1883,,,,,,
B27D0001,001,06-03-1974,904,872,1884,,,,,,
B27D0001,001,21-03-1974,903,871,1885,,,,,,
B27D0001,001,04-04-1974,900,868,1888,,,,,,
B27D0001,001,19-04-1974,900,868,1888,,,,,,
B27D0001,001,06-05-1974,900,868,1888,,,,,,
B27D0001,001,20-05-1974,902,870,1886,,,,,,
B27D0001,001,07-06-1974,905,873,1883,,,,,,
B27D0001,001,24-06-1974,907,875,1881,,,,,,
B27D0001,001,05-07-1974,910,878,1878,,,,,,
B27D0001,001,19-07-1974,912,880,1876,,,,,,
B27D0001,001,13-08-1974,915,883,1873,,,,,,
B27D0001,001,28-08-1974,919,887,1869,,,,,,
B27D0001,001,09-09-1974,920,888,1868,,,,,,
B27D0001,001,30-09-1974,923,891,1865,,,,,,
B27D0001,001,11-10-1974,923,891,1865,,,,,,
B27D0001,001,23-10-1974,925,893,1863,,,,,,
B27D0001,001,06-11-1974,930,898,1858,,,,,,
B27D0001,001,21-11-1974,925,893,1863,,,,,,
B27D0001,001,05-12-1974,925,893,1863,,,,,,
B27D0001,001,17-12-1974,918,886,1870,,,,,,
B27D0001,001,09-01-1975,904,872,1884,,,,,,
B27D0001,001,23-01-1975,894,862,1894,,,,,,
B27D0001,001,06-02-1975,887,855,1901,,,,,,
B27D0001,001,24-02-1975,880,848,1908,,,,,,
B27D0001,001,10-03-1975,877,845,1911,,,,,,
B27D0001,001,21-03-1975,875,843,1913,,,,,,
B27D0001,001,08-04-1975,871,839,1917,,,,,,
B27D0001,001,18-04-1975,870,838,1918,,,,,,
B27D0001,001,12-05-1975,865,833,1923,,,,,,
B27D0001,001,23-05-1975,863,831,1925,,,,,,
B27D0001,001,12-06-1975,860,828,1928,,,,,,
B27D0001,001,24-06-1975,860,828,1928,,,,,,
B27D0001,001,08-07-1975,860,828,1928,,,,,,
B27D0001,001,24-07-1975,860,828,1928,,,,,,
B27D0001,001,07-08-1975,865,833,1923,,,,,,
B27D0001,001,26-08-1975,869,837,1919,,,,,,
B27D0001,001,08-09-1975,870,838,1918,,,,,,
B27D0001,001,18-09-1975,871,839,1917,,,,,,
B27D0001,001,08-10-1975,876,844,1912,,,,,,
B27D0001,001,23-10-1975,880,848,1908,,,,,,
B27D0001,001,18-11-1975,884,852,1904,,,,,,
B27D0001,001,05-12-1975,887,855,1901,,,,,,
B27D0001,001,18-12-1975,890,858,1898,,,,,,
B27D0001,001,09-01-1976,894,862,1894,,,,,,
B27D0001,001,22-01-1976,896,864,1892,,,,,,
B27D0001,001,05-02-1976,895,863,1893,,,,,,
B27D0001,001,19-02-1976,897,865,1891,,,,,,
B27D0001,001,10-03-1976,898,866,1890,,,,,,
B27D0001,001,22-03-1976,900,868,1888,,,,,,
B27D0001,001,06-04-1976,899,867,1889,,,,,,
B27D0001,001,26-04-1976,900,868,1888,,,,,,
B27D0001,001,07-05-1976,901,869,1887,,,,,,
B27D0001,001,21-05-1976,903,871,1885,,,,,,
B27D0001,001,09-06-1976,906,874,1882,,,,,,
B27D0001,001,22-06-1976,906,874,1882,,,,,,
B27D0001,001,07-07-1976,911,879,1877,,,,,,
B27D0001,001,26-07-1976,912,880,1876,,,,,,
B27D0001,001,09-08-1976,915,883,1873,,,,,,
B27D0001,001,20-08-1976,917,885,1871,,,,,,
B27D0001,001,10-09-1976,920,888,1868,,,,,,
B27D0001,001,24-09-1976,923,891,1865,,,,,,
B27D0001,001,08-10-1976,925,893,1863,,,,,,
B27D0001,001,26-10-1976,926,894,1862,,,,,,
B27D0001,001,04-11-1976,931,899,1857,,,,,,
B27D0001,001,19-11-1976,934,902,1854,,,,,,
B27D0001,001,08-12-1976,935,903,1853,,,,,,
B27D0001,001,28-12-1976,940,908,1848,,,,,,
B27D0001,001,10-01-1977,943,911,1845,,,,,,
B27D0001,001,24-01-1977,945,913,1843,,,,,,
B27D0001,001,08-02-1977,945,913,1843,,,,,,
B27D0001,001,18-02-1977,950,918,1838,,,,,,
B27D0001,001,08-03-1977,950,918,1838,,,,,,
B27D0001,001,22-03-1977,950,918,1838,,,,,,
B27D0001,001,07-04-1977,950,918,1838,,,,,,
B27D0001,001,22-04-1977,950,918,1838,,,,,,
B27D0001,001,11-05-1977,950,918,1838,,,,,,
B27D0001,001,27-05-1977,951,919,1837,,,,,,
B27D0001,001,07-06-1977,950,918,1838,,,,,,
B27D0001,001,20-06-1977,951,919,1837,,,,,,
B27D0001,001,06-07-1977,950,918,1838,,,,,,
B27D0001,001,18-07-1977,947,915,1841,,,,,,
B27D0001,001,04-08-1977,952,920,1836,,,,,,
B27D0001,001,23-08-1977,951,919,1837,,,,,,
B27D0001,001,05-09-1977,954,922,1834,,,,,,
B27D0001,001,26-09-1977,957,925,1831,,,,,,
B27D0001,001,11-10-1977,958,926,1830,,,,,,
B27D0001,001,28-10-1977,959,927,1829,,,,,,
B27D0001,001,09-11-1977,963,931,1825,,,,,,
B27D0001,001,18-11-1977,962,930,1826,,,,,,
B27D0001,001,06-12-1977,963,931,1825,,,,,,
B27D0001,001,20-12-1977,962,930,1826,,,,,,
B27D0001,001,10-01-1978,960,928,1828,,,,,,
B27D0001,001,20-01-1978,959,927,1829,,,,,,
B27D0001,001,07-02-1978,958,926,1830,,,,,,
B27D0001,001,22-02-1978,955,923,1833,,,,,,
B27D0001,001,09-03-1978,952,920,1836,,,,,,
B27D0001,001,22-03-1978,950,918,1838,,,,,,
B27D0001,001,11-04-1978,946,914,1842,,,,,,
B27D0001,001,21-04-1978,946,914,1842,,,,,,
B27D0001,001,09-05-1978,943,911,1845,,,,,,
B27D0001,001,23-05-1978,942,910,1846,,,,,,
B27D0001,001,07-06-1978,940,908,1848,,,,,,
B27D0001,001,23-06-1978,943,911,1845,,,,,,
B27D0001,001,07-07-1978,945,913,1843,,,,,,
B27D0001,001,25-07-1978,947,915,1841,,,,,,
B27D0001,001,09-08-1978,,,,D,,,,,
B27D0001,001,25-08-1978,952,920,1836,,,,,,
B27D0001,001,12-09-1978,956,924,1832,,,,,,
B27D0001,001,19-09-1978,958,926,1830,,,,,,
B27D0001,001,04-10-1978,960,928,1828,,,,,,
B27D0001,001,18-10-1978,963,931,1825,,,,,,
B27D0001,001,01-11-1978,965,933,1823,,,,,,
B27D0001,001,15-11-1978,967,935,1821,,,,,,
B27D0001,001,28-11-1978,969,937,1819,,,,,,
B27D0001,001,08-12-1978,974,942,1814,,,,,,
B27D0001,001,19-12-1978,973,941,1815,,,,,,
B27D0001,001,10-01-1979,975,943,1813,,,,,,
B27D0001,001,22-01-1979,976,944,1812,,,,,,
B27D0001,001,06-02-1979,977,945,1811,,,,,,
B27D0001,001,20-02-1979,977,945,1811,,,,,,
B27D0001,001,06-03-1979,977,945,1811,,,,,,
B27D0001,001,20-03-1979,970,938,1818,,,,,,
B27D0001,001,03-04-1979,963,931,1825,,,,,,
B27D0001,001,19-04-1979,953,921,1835,,,,,,
B27D0001,001,09-05-1979,949,917,1839,,,,,,
B27D0001,001,21-05-1979,944,912,1844,,,,,,
B27D0001,001,06-06-1979,939,907,1849,,,,,,
B27D0001,001,11-06-1979,937,905,1851,,,,,,
B27D0001,001,17-07-1979,928,896,1860,,,,,,
B27D0001,001,07-08-1979,925,893,1863,,,,,,
B27D0001,001,28-08-1979,927,895,1861,,,,,,
B27D0001,001,07-09-1979,925,893,1863,,,,,,
B27D0001,001,21-09-1979,927,895,1861,,,,,,
B27D0001,001,08-10-1979,929,897,1859,,,,,,
B27D0001,001,23-10-1979,933,901,1855,,,,,,
B27D0001,001,08-11-1979,936,904,1852,,,,,,
B27D0001,001,23-11-1979,938,906,1850,,,,,,
B27D0001,001,11-12-1979,941,909,1847,,,,,,
B27D0001,001,08-01-1980,945,913,1843,,,,,,
B27D0001,001,24-01-1980,943,911,1845,,,,,,
B27D0001,001,11-02-1980,941,909,1847,,,,,,
B27D0001,001,25-02-1980,937,905,1851,,,,,,
B27D0001,001,10-03-1980,932,900,1856,,,,,,
B27D0001,001,27-03-1980,928,896,1860,,,,,,
B27D0001,001,15-04-1980,926,894,1862,,,,,,
B27D0001,001,01-05-1980,925,893,1863,,,,,,
B27D0001,001,22-05-1980,923,891,1865,,,,,,
B27D0001,001,09-06-1980,922,890,1866,,,,,,
B27D0001,001,24-06-1980,921,889,1867,,,,,,
B27D0001,001,10-07-1980,923,891,1865,,,,,,
B27D0001,001,31-07-1980,930,898,1858,,,,,,
B27D0001,001,14-08-1980,928,896,1860,,,,,,
B27D0001,001,29-08-1980,930,898,1858,,,,,,
B27D0001,001,12-09-1980,931,899,1857,,,,,,
B27D0001,001,13-10-1980,929,897,1859,,,,,,
B27D0001,001,28-10-1980,931,899,1857,,,,,,
B27D0001,001,14-11-1980,933,901,1855,,,,,,
B27D0001,001,01-12-1980,936,904,1852,,,,,,
B27D0001,001,18-12-1980,938,906,1850,,,,,,
B27D0001,001,13-01-1981,938,906,1850,,,,,,
B27D0001,001,27-01-1981,935,903,1853,,,,,,
B27D0001,001,10-02-1981,920,888,1868,,,,,,
B27D0001,001,05-03-1981,913,881,1875,,,,,,
B27D0001,001,19-03-1981,908,876,1880,,,,,,
B27D0001,001,03-04-1981,893,861,1895,,,,,,
B27D0001,001,21-04-1981,883,851,1905,,,,,,
B27D0001,001,08-05-1981,878,846,1910,,,,,,
B27D0001,001,25-05-1981,876,844,1912,,,,,,
B27D0001,001,16-06-1981,878,846,1910,,,,,,
B27D0001,001,03-07-1981,878,846,1910,,,,,,
B27D0001,001,17-07-1981,880,848,1908,,,,,,
B27D0001,001,18-08-1981,886,854,1902,,,,,,
B27D0001,001,03-09-1981,888,856,1900,,,,,,
B27D0001,001,18-09-1981,890,858,1898,,,,,,
B27D0001,001,02-10-1981,891,859,1897,,,,,,
B27D0001,001,20-10-1981,893,861,1895,,,,,,
